track,condition_class,condition,time_h,endpoint,value,unit,mean_or_median,error,n,organism_bucket,organism,model,assay,pmid,doi,figure_table,notes
Track A,Control/baseline,"healthy/organ-donor human liver bank (UW), age 7-63 y",NOT_REPORTED,absolute protein abundance,1.54,fmol/ug liver membrane protein,mean,SD=0.64,51,human,human,human liver tissue (membrane fraction),"targeted LC-MS/MS, surrogate peptide LTIIPQDPILFSGSLR (SIL internal std)",22318656,10.1124/dmd.111.043810,Abstract/Results text,"[Track A]; transporter=MRP2; gene=ABCC2; quantity_type=total abundance (membrane fraction); substrate_condition=none (expression only); temperature=NR; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3336801/; usable_for_human_wholecell=yes (human liver, absolute fmol/ug membrane); Independent of age (7-63y) and sex; QC error/precision <15%. SNP V417I (rs2273697) assoc. higher expression; promoter rs717620 no effect."
Track A,MRP2-loss,see notes,NOT_REPORTED,absolute protein abundance,NOT_REPORTED,fmol/ug membrane protein (NOT_REPORTED - paywalled body),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,human/dog/monkey/rat liver,targeted LC-MS/MS proteomics,25534768,10.1124/dmd.114.061580,Tables (not in accessible full text),[Track A]; transporter=MRP2; gene=ABCC2; quantity_type=total abundance (absolute); substrate_condition=none/see notes; temperature=NOT_REPORTED; url=https://doi.org/10.1124/dmd.114.061580; usable_for_human_wholecell=yes (human primary target) - value NOT_REPORTED; Same interspecies study; MRP2 absolute NOT_REPORTED in accessible text (paywall).
Track A,Control/baseline,human pediatric (n=69) + adult (n=41) liver; ontogeny,NOT_REPORTED,age-association of protein abundance,not significantly age-dependent (Table 1),fmol/ug membrane protein (absolute values NOT_REPORTED in accessible text),NR,NR,pediatric=69;adult=41,human,human,human liver tissue (membrane),targeted LC-MS/MS (Waters Xevo TQS),27301780,10.1002/cpt.409,Table 1,[Track A]; transporter=MRP2; gene=ABCC2; quantity_type=total abundance (age dependence); substrate_condition=none; temperature=NR; url=https://www.ncbi.nlm.nih.gov/pmc/articles/?term=27301780; usable_for_human_wholecell=yes (human liver; numeric MRP2 value NOT_REPORTED in accessible text); MRP2 constant across age (class-2 ontogeny). Absolute fmol/ug = NOT_REPORTED in accessible text.
Track A,Control/baseline,see notes,NOT_REPORTED,absolute protein abundance,NOT_REPORTED,fmol/ug membrane protein (NOT_REPORTED - paywalled body),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,cirrhotic human liver microsomes (NAFLD/biliary/cancer),QconCAT targeted + label-free (TPA/Hi3/iBAQ),34045218,10.1124/dmd.121.000484,Tables (not in accessible full text),[Track A]; transporter=MRP2; gene=ABCC2; quantity_type=total abundance (absolute); substrate_condition=none/see notes; temperature=NOT_REPORTED; url=https://doi.org/10.1124/dmd.121.000484; usable_for_human_wholecell=yes (human primary target) - value NOT_REPORTED; El-Khateeb: disease perturbation factor (DPF) for cirrhosis etiologies. Absolute+relative in tables NOT accessible (paywall body). Cholestatic-relevant (biliary cirrhosis).
Track A,Control/baseline,control (non-HCV) human liver,NOT_REPORTED,relative protein abundance (fraction of total quantified transporters),16,% of quantified transporter protein pool,NR,NR,NR,human,human,"human liver tissue (whole lysate, FASP)",LC-MS/MS (label-free) protein abundance,35887291,10.3390/ijms23147947,Results text (control-liver composition),"[Track A]; transporter=MRP2; gene=ABCC2; quantity_type=relative composition (% of quantified transporter pool); substrate_condition=none; temperature=NR; url=https://www.ncbi.nlm.nih.gov/pmc/articles/?term=35887291; usable_for_human_wholecell=proxy (relative %, not absolute; needs total for conversion); Control-liver rank: OCT1 29%>OATP1B1 19%>MRP2 16%>MCT1 8%>NTCP 8%. Absolute fmol/ug in figures = NOT_REPORTED in accessible text."
Track A,Control/baseline,"HCV infection, Child-Pugh class A/B/C (n=30/21/7)",NOT_REPORTED,direction of change vs control,decreased (downregulated),direction (numeric fold NOT_REPORTED),NR,NR,A=30;B=21;C=7,human,human,HCV-infected human liver tissue,LC-MS/MS protein abundance + qRT-PCR,35887291,10.3390/ijms23147947,Abstract/Results,[Track A]; transporter=MRP2; gene=ABCC2; quantity_type=total abundance change (disease); substrate_condition=HCV cirrhosis (cholestatic-relevant liver disease); temperature=NR; url=https://www.ncbi.nlm.nih.gov/pmc/articles/?term=35887291; usable_for_human_wholecell=proxy (disease perturbation direction; absolute values NOT_REPORTED in text); MRP2 downregulated in all HCV stages (from class A). Absolute fmol values = NOT_REPORTED in accessible text.
Track A,Control/baseline,"human isolated hepatocytes, birth to adult",NOT_REPORTED,age-association; class-2 ontogeny (constant),constant across age,fmol/ug (absolute values NOT_REPORTED in text),NR,NR,NR,human,human,human isolated hepatocytes,targeted LC-MS/MS proteomics,39160670,10.1002/cpt.3409,Results text / figures,"[Track A]; transporter=MRP2; gene=ABCC2; quantity_type=total abundance (isolated hepatocytes, ontogeny); substrate_condition=none; temperature=NR; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11979781/; usable_for_human_wholecell=yes (human hepatocytes; numeric NOT_REPORTED in accessible text); MRP2 = class 2 (relatively constant across age)."
Track A,Control/baseline,normal human liver,NOT_REPORTED,RNA abundance,113.8,nTPM,NR,NR,NR,human,human,human liver (bulk RNA-seq consensus),RNA-seq (HPA consensus),NOT_REPORTED,NOT_REPORTED,"HPA tissue atlas (Ensembl ENSG00000023839, UniProt Q92887)","[Track A]; transporter=MRP2; gene=ABCC2; quantity_type=RNA tissue expression (semiquant); substrate_condition=none; temperature=NR; url=https://www.proteinatlas.org/ENSG00000023839-ABCC2/tissue; usable_for_human_wholecell=proxy (mRNA, not protein abundance); RNA tissue-enhanced: liver 113.8, intestine 37.9 nTPM. HPA is a curated database, not primary literature; use only as cross-check."
Track B,Control/baseline,alpha-adaptin knockdown vs control,NOT_REPORTED,BSEP internalization rate from plasma/canalicular membrane (AP2-mediated),reduced internalization / increased surface expression (qualitative),qualitative,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human/dog,human sandwich-cultured hepatocytes + 3xFLAG-BSEP HeLa cells,"cell-surface biotinylation, time-lapse imaging, coIP",22262466,10.1002/hep.25591,Results,"[Track B]; substrate_condition=AP2 (alpha-adaptin) RNAi; temperature=37C; direct_url=https://pubmed.ncbi.nlm.nih.gov/22262466/; usable_for_human_wholecell=human sandwich-cultured hepatocyte (partial) + HeLa proxy; AP2 mediates clathrin-dependent BSEP internalization via C-terminal tyrosine motif; alpha-adaptin RNAi inhibited internalization, raised surface BSEP + transport. Numeric internalization rate constant NOT_REPORTED in abstract"
Track B,Control/baseline,human cholestatic liver disease (DILI etc.),NOT_REPORTED,MRP2 endocytic retrieval / radixin colocalization (static human snapshot),"retrieval present (qualitative, static)",qualitative,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,"human liver biopsy (DILI, obstructive jaundice, PSC, AIH)","immunofluorescence microscopy (MRP2/radixin/ZO-1), Scion Image",17725603,10.1111/j.1440-1746.2007.05109.x,Results,"[Track B]; substrate_condition=various cholestatic diseases; temperature=NA (fixed tissue); direct_url=https://pubmed.ncbi.nlm.nih.gov/17725603/; usable_for_human_wholecell=HUMAN (static localization; no rate); In icteric DILI, MRP2 localized outside ZO-1 (endocytic retrieval into pericanalicular compartment). Human evidence for retrieval but NO kinetic rate (single-timepoint biopsy)"
Track B,BSEP-loss,PFIC2 BSEP ER-associated degradation,NOT_REPORTED,"degradation of BSEP at endoplasmic reticulum (ERAD, proteasomal)",ER proteasomal degradation of mutant BSEP (qualitative),qualitative,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human BSEP,cell system expressing WT/mutant BSEP,pulse-chase / degradation,18798335,10.1002/hep.22499,Results,[Track B]; substrate_condition=PFIC2 mutants vs WT; temperature=37C; direct_url=https://pubmed.ncbi.nlm.nih.gov/18798335/; usable_for_human_wholecell=human BSEP construct (indirect); Degradation of BSEP at ER in PFIC2; ERAD pathway. Kinetic rate constants NOT_REPORTED in abstract
Track C,BSEP-loss,Dasatinib 2 uM (BSEP-inhibiting TKI),8,CYP7A1 mRNA fold-change,6.2-7.8,fold vs control,mean,NOT_REPORTED,NOT_REPORTED,human,human,sandwich-cultured human hepatocytes (SCHH),NOT_REPORTED,34794962,10.1124/jpet.121.000828,abstract (Fig in paper; values from abstract),[Track C]; substrate=none (endogenous BA synthesis); temperature_C=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9109172/; usable_for_human_wholecell=yes; range across concentrations; error/n NOT_REPORTED in abstract
Track C,BSEP-loss,Pazopanib (BSEP-inhibiting TKI),8,CYP7A1 mRNA fold-change,5.7-9.3,fold vs control,mean,NOT_REPORTED,NOT_REPORTED,human,human,sandwich-cultured human hepatocytes (SCHH),NOT_REPORTED,34794962,10.1124/jpet.121.000828,abstract,[Track C]; substrate=NOT_REPORTED; temperature_C=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9109172/; usable_for_human_wholecell=yes; range across concentrations; error/n NOT_REPORTED in abstract
Track C,BSEP-loss,"TKI (dasatinib/pazopanib/sorafenib), bile-acid-dependent tox",24,Total bile acid in culture medium (extracellular),up to 2.3,fold vs control,mean,NOT_REPORTED,NOT_REPORTED,human,human,sandwich-cultured human hepatocytes (SCHH),NOT_REPORTED,34794962,10.1124/jpet.121.000828,abstract,[Track C]; substrate=NOT_REPORTED; temperature_C=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9109172/; usable_for_human_wholecell=yes; error/n NOT_REPORTED in abstract
Track C,BSEP-loss,TKI (dasatinib/pazopanib/sorafenib),24,Total intracellular bile acid in SCHH,up to 1.4,fold vs control,mean,NOT_REPORTED,NOT_REPORTED,human,human,sandwich-cultured human hepatocytes (SCHH),NOT_REPORTED,34794962,10.1124/jpet.121.000828,abstract,[Track C]; substrate=NOT_REPORTED; temperature_C=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9109172/; usable_for_human_wholecell=yes; key intracellular BA-load datum; error/n NOT_REPORTED in abstract
Track C,BSEP-loss,TKI (dasatinib/pazopanib/sorafenib),NOT_REPORTED,NTCP protein abundance,up to 2.0,fold vs control,mean,NOT_REPORTED,NOT_REPORTED,human,human,sandwich-cultured human hepatocytes (SCHH),NOT_REPORTED,34794962,10.1124/jpet.121.000828,abstract,[Track C]; substrate=NOT_REPORTED; temperature_C=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9109172/; usable_for_human_wholecell=yes; uptake-transporter upregulation; error/n NOT_REPORTED
Track C,BSEP-loss,Dasatinib/pazopanib,NOT_REPORTED,Hepatocyte uptake clearance (CLuptake) of taurocholate,up to 1.4,fold vs control,mean,NOT_REPORTED,NOT_REPORTED,human,human,sandwich-cultured human hepatocytes (SCHH),NOT_REPORTED,34794962,10.1124/jpet.121.000828,abstract,[Track C]; substrate=taurocholic acid (probe); temperature_C=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9109172/; usable_for_human_wholecell=yes; error/n NOT_REPORTED
Track C,BSEP-loss,Bosentan 2.5-25 uM (BSEP/canalicular inhibitor),24,Intracellular endogenous GCDCA,NOT_REPORTED,concentration-dependent DECREASE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,sandwich-cultured human hepatocytes (SCHH),NOT_REPORTED,34349015,10.1124/jpet.121.000695,"abstract (numeric values in figures, paywalled)",[Track C]; substrate=endogenous + 10 uM CDCA added; temperature_C=NOT_REPORTED; url=https://doi.org/10.1124/jpet.121.000695; usable_for_human_wholecell=yes; bosentan reduced intracellular & extracellular GCDCA; shifted canalicular->sinusoidal efflux within 24h; also reduced GCDCA formation. Numeric time-course NOT_REPORTED (figures inaccessible)
Track C,BSEP-loss,Bosentan 2.5-25 uM + 10 uM CDCA,24,Intracellular CDCA,unchanged,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,sandwich-cultured human hepatocytes (SCHH),NOT_REPORTED,34349015,10.1124/jpet.121.000695,abstract,[Track C]; substrate=10 uM CDCA added to medium; temperature_C=NOT_REPORTED; url=https://doi.org/10.1124/jpet.121.000695; usable_for_human_wholecell=yes; CDCA levels not affected by bosentan
Track C,BSEP-loss,Cyclosporin A + established BA mixture,NOT_REPORTED,Intracellular deoxycholic acid (DCA) & cholic acid (CA),NOT_REPORTED,INCREASE (accumulation),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,"human precision-cut liver slices (PCLS), ex vivo",LC-MS/MS intracellular BA quantification,39855581,10.1016/j.tiv.2025.106011,"abstract (numeric values in figures, paywalled)","[Track C]; substrate=NOT_REPORTED; temperature_C=NOT_REPORTED; url=https://doi.org/10.1016/j.tiv.2025.106011; usable_for_human_wholecell=yes; unconjugated BAs (DCA, CA) accumulated with BA mix; CsA additionally increased TLCA; toxicity of CsA seen upon BA addition. Numeric/time-course NOT_REPORTED"
Track C,BSEP-loss,Cyclosporin A + BA mixture,NOT_REPORTED,Intracellular taurolithocholic acid (TLCA),NOT_REPORTED,INCREASE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,"human precision-cut liver slices (PCLS), ex vivo",LC-MS/MS intracellular BA quantification,39855581,10.1016/j.tiv.2025.106011,abstract,[Track C]; substrate=NOT_REPORTED; temperature_C=NOT_REPORTED; url=https://doi.org/10.1016/j.tiv.2025.106011; usable_for_human_wholecell=yes; CsA-specific increase; numeric NOT_REPORTED
Track C,BSEP-loss,Chlorpromazine + BA mixture,NOT_REPORTED,Intracellular DCA & CA,NOT_REPORTED,INCREASE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,"human precision-cut liver slices (PCLS), ex vivo",LC-MS/MS intracellular BA quantification,39855581,10.1016/j.tiv.2025.106011,abstract,[Track C]; substrate=NOT_REPORTED; temperature_C=NOT_REPORTED; url=https://doi.org/10.1016/j.tiv.2025.106011; usable_for_human_wholecell=yes; CPZ toxicity unaffected by BA addition; numeric NOT_REPORTED
Track C,BSEP-loss,CsA or CPZ WITHOUT BA mixture,NOT_REPORTED,Conjugated bile acids (intracellular),NOT_REPORTED,DECREASE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,"human precision-cut liver slices (PCLS), ex vivo",LC-MS/MS intracellular BA quantification,39855581,10.1016/j.tiv.2025.106011,abstract,[Track C]; substrate=NOT_REPORTED; temperature_C=NOT_REPORTED; url=https://doi.org/10.1016/j.tiv.2025.106011; usable_for_human_wholecell=yes; suggests inhibition of BA metabolism by cholestatic drugs; numeric NOT_REPORTED
Track C,Control/baseline,"TJP2-KO iHep, TCA loaded apical",48,TCA leaked to basolateral (lower) chamber,~30,% of loaded TCA,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,"iPSC-derived hepatocyte-like cells (iHep), TJP2-KO, Transwell",LC-MS/MS + fluorescent TCA translocation,35284810,10.1016/j.jhepr.2022.100446,Fig (body text),"[Track C]; substrate=taurocholate (TCA); temperature_C=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8904612/; usable_for_human_wholecell=partial (human iPSC-Hep; TJP2 deficiency, not ABCB11; measures directional BA transport not accumulation load); control iHep retained TCA apically (negligible leak); loss of bile-canalicular BA segregation"
Track C,Control/baseline,"TJP2-KO iHep, reverse transport assay",24,TCA back-leaked to apical (upper) chamber,~20,% of loaded TCA,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,"iPSC-derived hepatocyte-like cells (iHep), TJP2-KO, Transwell",LC-MS/MS + fluorescent TCA translocation,35284810,10.1016/j.jhepr.2022.100446,Fig (body text),"[Track C]; substrate=taurocholate (TCA); temperature_C=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8904612/; usable_for_human_wholecell=partial (human iPSC-Hep; TJP2 deficiency, not ABCB11; measures directional BA transport not accumulation load); WT actively transported >90% correctly at 48h"
Track C,Control/baseline,"TJP2-KO iHep, reverse transport assay",48,TCA back-leaked to apical (upper) chamber,~40,% of loaded TCA,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,"iPSC-derived hepatocyte-like cells (iHep), TJP2-KO, Transwell",LC-MS/MS + fluorescent TCA translocation,35284810,10.1016/j.jhepr.2022.100446,Fig (body text),"[Track C]; substrate=taurocholate (TCA); temperature_C=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8904612/; usable_for_human_wholecell=partial (human iPSC-Hep; TJP2 deficiency, not ABCB11; measures directional BA transport not accumulation load); progressive loss of directional transport"
Track C,BSEP-loss,Hydrophobic bile acids,NOT_REPORTED,Mitochondrial ROS generation & permeability transition (MPT),NOT_REPORTED,qualitative INCREASE,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,isolated human hepatic mitochondria,NOT_REPORTED,16056106,10.1097/01.mpg.0000170600.80640.88,"abstract (numeric in figures, paywalled)","[Track C]; substrate=NOT_REPORTED; temperature_C=NOT_REPORTED; url=https://doi.org/10.1097/01.mpg.0000170600.80640.88; usable_for_human_wholecell=partial (human, but isolated mitochondria not whole hepatocyte); human hepatic mitochondria generate ROS and undergo MPT in response to hydrophobic BAs; numeric/time-course NOT_REPORTED"
Track D,BSEP-loss,deoxycholic acid (DCA) treatment,8,"GRP78/BiP mRNA and protein increased at 8 h, declined by 48 h",NOT_REPORTED,fold vs control,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,HL-7702/L02 transformed human hepatocyte line,qRT-PCR + immunoblot,23598416,10.1038/cddis.2013.134,Figures (fold values in figure bars),"[Track D]; measurement_class=protein_amount; measure=GRP78_BiP_protein; substrate_condition=DCA (bile acid); thapsigargin positive control; temperature=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3668635/; usable_for_human_wholecell=indirect (human transformed hepatocyte line, not primary); DIRECTION: DCA induces GRP78 protein transiently (peak 8 h, decline 48 h). Exact fold = NOT_REPORTED (figure). miR-199a-5p regulates GRP78."
Track D,Control/baseline,baseline human liver (unstressed),NOT_REPORTED,protein detected in all tissues incl. liver; no absolute hepatocyte concentration,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,human liver tissue (curated),immunohistochemistry / mass-spec (HPA),NOT_REPORTED,NOT_REPORTED,HPA tissue atlas,"[Track D]; measurement_class=protein_amount; measure=HSPA5_GRP78_baseline_abundance; substrate_condition=baseline; temperature=NOT_REPORTED; url=https://www.proteinatlas.org/ENSG00000044574-HSPA5/tissue; usable_for_human_wholecell=baseline reference (qualitative; absolute copy number NOT_REPORTED); Human Protein Atlas: HSPA5/GRP78 'detected in all', tissue-enriched (pancreas). No absolute per-hepatocyte concentration; documents a quantitative gap for the whole-cell model."
