track,condition_class,condition,time_h,endpoint,value,unit,mean_or_median,error,n,organism_bucket,organism,model,assay,pmid,doi,figure_table,notes
Track D,Control/baseline,TUDCA dose series on HepG2,NOT_REPORTED,LDH release (cytotoxicity),0.1-1 (no cytotoxicity); 10 (increased LDH),mM,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,human,HepG2 hepatoma line,LDH release,26293671,10.18632/oncotarget.4377,Figure (dose-response),[Track D]; measurement_class=marker_only; measure=TUDCA_cytotoxicity_threshold_LDH; substrate_condition=TUDCA; temperature=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4695041/; usable_for_human_wholecell=indirect (hepatoma line); bounds usable TUDCA concentration; TUDCA non-toxic 0.1-1 mM; cytotoxic at 10 mM (p<0.001). Context for chaperone/UPR dosing; not a proteostasis rate.
Track D,BSEP-loss,bile-acid challenge of PiZ (ATZ) mice; human AATD liver,NOT_REPORTED,GRP78 translocation into protein aggregates (major non-AAT aggregate component),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,mouse; human,PiZ transgenic mouse liver + human AATD liver samples,iBAQ absolute-quantification proteomics of aggregate fraction; immunoblot,39665869,10.1111/liv.16207,Figures/proteomics tables,"[Track D]; measurement_class=protein_amount; measure=GRP78_in_aggregates; substrate_condition=bile acids (elevated serum BA in AATD); temperature=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11636636/; usable_for_human_wholecell=partial (human AATD liver context; disease-specific proteostatic sink); DIRECTION: bile acids increase aggregation and sequester GRP78 into aggregates, depleting free chaperone. Absolute iBAQ values in supplementary = NOT_REPORTED here."
Track E,BSEP-loss,GCDCA 200 uM apoptotic challenge (no preconditioning),4,apoptosis,15.6,fold-change vs control,mean,NOT_REPORTED,3-10,other,human,HepG2.rNtcp (human hepatoma stably expressing rat Ntcp),caspase-3/7 activity (luminescent),26950211,10.1371/journal.pone.0149782,Fig 1; Results text,"[Track E]; marker=caspase-3/7 activity; co_measured_markers=LDH release (necrosis); study_defined_threshold=NOT_REPORTED; substrate_condition=GCDCA 200 uM challenge, 4 h; temperature=37C; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4780766/; usable_for_human_wholecell=indirect (human hepatoma line + rat transporter) - label; 200 uM GCDCA 4 h -> 15.6-fold caspase-3/7 induction. n reported as 3-10 depending on condition; SEM error but per-value SD NOT_REPORTED in text."
Track E,BSEP-loss,GCDCA 200 uM challenge after 25 uM GCDCA preconditioning 24 h,4,apoptosis,58% reduction vs non-preconditioned,% reduction,mean,NOT_REPORTED,3-10,other,human,HepG2.rNtcp,caspase-3/7 activity,26950211,10.1371/journal.pone.0149782,Fig 1,"[Track E]; marker=caspase-3/7 activity; co_measured_markers=LDH release; study_defined_threshold=NOT_REPORTED; substrate_condition=precond 25 uM GCDCA 24 h, then 200 uM GCDCA 4 h; temperature=37C; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4780766/; usable_for_human_wholecell=indirect - label; Preconditioning hormesis effect."
Track E,BSEP-loss,Preconditioning time-course (25 uM GCDCA) then 200 uM challenge,challenge 4 (precond 2/6/12/24/48),apoptosis,significant protection requires >=24 h preconditioning; gradual decrease at intermediate times,qualitative/temporal,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,human,HepG2.rNtcp,caspase-3/7 activity,26950211,10.1371/journal.pone.0149782,Fig 4,"[Track E]; marker=caspase-3/7 activity; co_measured_markers=LDH; study_defined_threshold=NOT_REPORTED; substrate_condition=precond 25 uM GCDCA 2,6,12,24,48 h then 200 uM 4 h; temperature=37C; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4780766/; usable_for_human_wholecell=indirect - label; Preconditioning time-dependence (2-48 h)."
Track E,Control/baseline,Preconditioning concentration-response (24 h) then 200 uM challenge,4,apoptosis,1 uM precond -> 48.5% reduction; 25 uM precond -> 77% reduction,% reduction,mean,NOT_REPORTED,3,other,human,HepG2.rNtcp,caspase-3/7 activity,26950211,10.1371/journal.pone.0149782,Fig 4,[Track E]; marker=caspase-3/7 activity; co_measured_markers=LDH; study_defined_threshold=NOT_REPORTED; substrate_condition=precond 0.25-25 uM GCDCA 24 h then 200 uM 4 h; temperature=37C; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4780766/; usable_for_human_wholecell=indirect - label; Concentration-dependent protection.
Track E,BSEP-loss,GCDCA 200 uM challenge (necrosis check),4,necrosis,no increase in LDH (no necrotic death) at 200 uM 4 h,% of total LDH,mean,SEM (value NR),3,other,human,HepG2.rNtcp,LDH release,26950211,10.1371/journal.pone.0149782,Fig 3,[Track E]; marker=LDH release; co_measured_markers=caspase-3/7 activity; study_defined_threshold=NOT_REPORTED; substrate_condition=200 uM GCDCA 4 h +/- preconditioning; temperature=37C; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4780766/; usable_for_human_wholecell=indirect - label; Death mode is apoptotic not necrotic in this system at this dose/time; digitonin=100% leakage reference.
Track E,Control/baseline,GCDC exposure,NOT_REPORTED,apoptosis,"GCDC induces apoptosis in rat hepatocytes & HUH7-Ntcp; PKC-delta silencing increases apoptosis, CA/WT PKC-delta attenuates",qualitative,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,human;rat,HUH7-Ntcp (human) & primary rat hepatocytes,Hoechst apoptotic morphology + caspase-3 cleavage immunoblot,25359536,10.1152/ajpgi.00165.2014,figure-based (full text body not retrieved; abstract),[Track E]; marker=caspase-3 cleavage + Hoechst apoptotic nuclei; co_measured_markers=JNK phospho; Akt phospho; BIM expression; PKC-delta translocation/phospho; study_defined_threshold=NOT_REPORTED; substrate_condition=GCDC (glycochenodeoxycholate); temperature=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4269680/; usable_for_human_wholecell=partially (human HUH7-Ntcp line) - label; Full-text body not retrieved (abstract only) -> quantitative time/values NOT_REPORTED. GCDC-induced apoptosis co-measured with JNK/Akt/BIM. BIM knockdown reduces apoptosis.
Track F,Control/baseline,WT vs ICAM-1 knockout HepG2,NOT_REPORTED,bile-canaliculus (BC) area,18.9 vs 51.2,µm^2,mean,±1.1 (WT); ±7.2 (KO) SD,≥70 cells per experiment,other,human,HepG2 polarized hepatic epithelial cells,confocal IF + area segmentation,38597186,10.7554/eLife.89261,NOT_REPORTED,"[Track F]; modality=confocal immunofluorescence, BC area quantification; feature=bile-canaliculi size (apical BC-like structures); figure_number=Fig 1E; what_image_shows=Apical bile-canalicular-like structures (F-actin/apical markers) in polarized HepG2; ICAM-1_KO cells show markedly enlarged BC area (51.2 µm2) vs WT (18.9 µm2); rescue with ICAM-1-GFP reduces size; scale_bar=20 µm; license_status=CC-BY 4.0 (eLife; full text states 'Creative Commons Attribution License / CC BY'. NB: PMC copyright-status API returned is_open_access=False/type=None — journal license overrides); substrate_condition=genetic ICAM-1 KO; temperature=NOT_REPORTED; url=https://doi.org/10.7554/eLife.89261; usable_for_human_wholecell=partial (human hepatoma line HepG2, not primary hepatocytes); BC area WT 18.9±1.1 µm2 → ICAM-1_KO 51.2±7.2 µm2, mean±SD, ≥70 cells/experiment, ***p<0.001. Human hepatoma model."
Track F,Control/baseline,WT vs ICAM-1 KO,NOT_REPORTED,BC dynamics — enlarged BCs in KO; frame-to-frame variation not different WT vs KO,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,human,HepG2 polarized hepatic epithelial cells,live time-lapse fluorescence microscopy; cryo soft-X-ray tomography,38597186,10.7554/eLife.89261,NOT_REPORTED,[Track F]; modality=live time-lapse fluorescence + Cryo-SXT; feature=bile-canaliculi dynamics; figure_number=Fig 2A/2B (Videos 1-2); what_image_shows=Time-lapse of bile-canalicular-like structures in HepG2 and cryo-SXT tomograms; ICAM-1_KO cells form enlarged BCs; frame-to-frame dynamic variation similar between WT and KO; scale_bar=2 µm (2A); see legend; license_status=CC-BY 4.0 (eLife; full text states 'Creative Commons Attribution License / CC BY'. NB: PMC copyright-status API returned is_open_access=False/type=None — journal license overrides); substrate_condition=genetic ICAM-1 KO; temperature=NOT_REPORTED; url=https://doi.org/10.7554/eLife.89261; usable_for_human_wholecell=partial (human HepG2); Dynamics qualitative; enlargement quantified in Fig 1.
