track,category,condition,time_h,endpoint,value,unit,mean_or_median,error,n,organism_bucket,organism,model,assay,substrate_condition,temperature,pmid,doi,url,figure_table,usable_for_human_wholecell,notes
Organelle cycles,Normalize organelle function cycles,in vivo,NOT_REPORTED,ornithine transcarbamylase (mito urea-cycle enzyme) half-life,6 to 9,days,range,NOT_REPORTED,NOT_REPORTED,rat,rat,"rat liver, in vivo",double-isotope technique + affinity chromatography,NOT_REPORTED,NOT_REPORTED,3780979,10.1016/0014-5793(86)81062-6,https://pubmed.ncbi.nlm.nih.gov/3780979/,Abstract,non-human proxy (rat liver),~matches mitochondrial turnover; lysosomal/autophagic
Organelle cycles,Normalize organelle function cycles,"in vivo, basal diet",NOT_REPORTED,microsomal (ER) fraction protein degradation rate constant (kd),0.28,/day,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,"rat liver, in vivo",double-isotope leucine,basal diet,NOT_REPORTED,6216105,10.1111/j.1432-1033.1982.tb06866.x,https://pubmed.ncbi.nlm.nih.gov/6216105/,Abstract,non-human proxy (rat liver),ER/microsomal bulk protein ~t1/2 2.5 d
Organelle cycles,Normalize organelle function cycles,"isolated hepatocytes, pulse-chase",NOT_REPORTED,ER-to-Golgi transport half-time (secretory proteins),14 to 137,min,range across 4 proteins,NOT_REPORTED,4 proteins,rat,rat,isolated rat hepatocytes,pulse-chase + subcellular fractionation + quantitative immunoprecipitation,"albumin, transferrin, prealbumin, retinol-binding protein",NOT_REPORTED,6538481,10.1002/j.1460-2075.1984.tb01775.x,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC557311/,Abstract,non-human proxy (rat hepatocyte); organelle-transit relevant,"Albumin fastest ~14 min, transferrin slowest; selective transport"
Organelle cycles,Normalize organelle function cycles,isolated hepatocytes,NOT_REPORTED,Golgi-to-medium (secretion) transport half-time,~15,min,"approx, all 4 proteins similar",NOT_REPORTED,4 proteins,rat,rat,isolated rat hepatocytes,pulse-chase + fractionation + immunoprecipitation,"albumin, transferrin, prealbumin, RBP",NOT_REPORTED,6538481,10.1002/j.1460-2075.1984.tb01775.x,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC557311/,Abstract,non-human proxy (rat hepatocyte),Post-Golgi step rapid and uniform
Organelle cycles,Normalize organelle function cycles,"perfused liver, amino-acid deprived (maximal macroautophagy)",NOT_REPORTED,protein degradation (proteolysis) rate,4.5,%/h,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,perfused rat liver,liver perfusion,amino-acid deprivation (maximal),37 C,3492868,10.1016/0065-2571(86)90018-x,https://pubmed.ncbi.nlm.nih.gov/3492868/,Abstract,non-human proxy (rat liver),Maximal macroautophagic proteolysis
Organelle cycles,Normalize organelle function cycles,"perfused liver, +4x normal plasma amino acids",NOT_REPORTED,protein degradation (proteolysis) rate,1.7,%/h,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,perfused rat liver,liver perfusion,4x plasma amino acids,37 C,3492868,10.1016/0065-2571(86)90018-x,https://pubmed.ncbi.nlm.nih.gov/3492868/,Abstract,non-human proxy (rat liver),Basal rate when autophagy suppressed
Organelle cycles,Normalize organelle function cycles,perfused liver,NOT_REPORTED,autophagic vacuole (autophagosome) turnover rate constant,0.087,/min,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,perfused rat liver,morphometry of autophagic vacuoles + proteolysis,NOT_REPORTED,37 C,3492868,10.1016/0065-2571(86)90018-x,https://pubmed.ncbi.nlm.nih.gov/3492868/,Abstract,non-human proxy (rat liver),~lifetime 11.5 min; key autophagic-flux constant
Organelle cycles,Normalize organelle function cycles,in vivo,NOT_REPORTED,peroxisome whole-particle half-life (3H-leucine),~3.5,days,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,"rat liver, in vivo","3H-leucine pulse-chase, Triton WR-1339 fractionation",NOT_REPORTED,NOT_REPORTED,5783872,10.1083/jcb.41.2.536,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2107746/,Abstract,non-human proxy (rat liver),"Random degradation, whole organelle"
Organelle cycles,Normalize organelle function cycles,in vivo,NOT_REPORTED,peroxisomal catalase half-life (aminotriazole recovery / heme label),~11.5,days,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,"rat liver, in vivo",recovery from aminotriazole inhibition; 14C-aminolevulinic acid (heme),NOT_REPORTED,NOT_REPORTED,5783872,10.1083/jcb.41.2.536,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2107746/,Abstract,non-human proxy (rat liver),Heme prosthetic group same t1/2
Organelle cycles,Normalize organelle function cycles,in vivo,NOT_REPORTED,peroxisome half-life (guanidino-arginine label),~2.5,days,NOT_REPORTED,large statistical uncertainty (qualitative),NOT_REPORTED,rat,rat,"rat liver, in vivo",guanidino-[14C]arginine label,NOT_REPORTED,NOT_REPORTED,5783872,10.1083/jcb.41.2.536,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2107746/,Abstract,non-human proxy (rat liver),Authors note true t1/2 possibly ~1.5 d
Organelle cycles,Normalize organelle function cycles,in vivo,NOT_REPORTED,peroxisomal catalase half-life (immunoprecipitation),39,h,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,"rat liver, in vivo",[3H]leucine + anti-catalase immunoprecipitation,NOT_REPORTED,NOT_REPORTED,454682,10.1016/0304-4165(79)90022-9,https://pubmed.ncbi.nlm.nih.gov/454682/,Abstract,non-human proxy (rat liver),~1.6 d
Organelle cycles,Normalize organelle function cycles,in vivo,NOT_REPORTED,peroxisomal urate oxidase half-life,20,h,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,"rat liver, in vivo",[3H]leucine + anti-urate oxidase immunoprecipitation,NOT_REPORTED,NOT_REPORTED,454682,10.1016/0304-4165(79)90022-9,https://pubmed.ncbi.nlm.nih.gov/454682/,Abstract,non-human proxy (rat liver),Faster than catalase
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Mitochondrial H2O2 production rate (maximal),~20,nmol/min/mg mitochondrial protein,mean,NOT_REPORTED,NOT_REPORTED,other,pigeon (bird),isolated heart mitochondria,spectrophotometric (cytochrome c peroxidase / scopoletin),succinate-glutamate or malate-glutamate; +antimycin A,NOT_REPORTED,4749271,10.1042/bj1340707,https://pubmed.ncbi.nlm.nih.gov/4749271,Abstract; text,non-human proxy (avian heart mito),"Classic Boveris-Chance. Max rate ~20 nmol/min/mg with succinate/malate-glutamate + antimycin A. Not liver, not human."
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Fraction of mitochondrial electron flow to H2O2 (upper estimate),0.15,% of electron flow,upper estimate,NOT_REPORTED,NOT_REPORTED,rat,rat,isolated liver/heart/muscle mitochondria (intact),Amplex Red H2O2 + exogenous SOD; topology assay,palmitoyl carnitine substrate,NOT_REPORTED,12237311,10.1074/jbc.M207217200,https://pubmed.ncbi.nlm.nih.gov/12237311,Abstract; text,"non-human proxy (rat liver mito) - fractional, not absolute flux","Includes liver mito; states 0.15% of electron flow to H2O2, >10x lower than commonly cited. Absolute nmol/min/mg values in figures (not in accessible text) = NOT_REPORTED."
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,mGPDH-dependent H2O2 production (relative to succinate),"39-fold (liver, vs succinate); 32-fold (vs pyruvate+malate)",fold increase (relative),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,isolated liver mitochondria,H2O2 production measurement,glycerophosphate + antimycin A,NOT_REPORTED,18952046,10.1016/j.abb.2008.10.011,https://pubmed.ncbi.nlm.nih.gov/18952046,Abstract,non-human proxy; relative only (absolute nmol/min/mg = NOT_REPORTED),Only fold-changes in abstract; absolute rates in figures not in accessible text.
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Hepatic H2O2 removal capacity (relative order),liver>heart>muscle (homogenate),qualitative/relative (desferrioxamine equiv.),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,liver homogenate & isolated mitochondria,H2O2 'detector' fluorescence vs desferrioxamine standard; glucose oxidase H2O2 source,glucose oxidase-generated H2O2,NOT_REPORTED,11311861,10.1016/s1357-2725(00)00086-8,https://pubmed.ncbi.nlm.nih.gov/11311861,Abstract,non-human proxy; relative only,Absolute H2O2 removal rate constants not given in accessible text = NOT_REPORTED.
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Peroxisomal fatty-acid-oxidation-associated H2O2 formation (perfused liver),NOT_REPORTED,NOT_REPORTED (see figures/tables),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,isolated hemoglobin-free perfused liver (non-recirculating),organ spectrophotometry of catalase Compound I,added fatty acids,37 C (perfusion),7317011,10.1042/bj1960705,https://pubmed.ncbi.nlm.nih.gov/7317011,Abstract; tables in full text,non-human proxy (rat perfused liver),Quantitative H2O2 formation determined by 2 methods; numeric rates in tables not in accessible abstract text = NOT_REPORTED.
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,H2O2 generation & catalase Compound I kinetics (perfused liver),NOT_REPORTED,NOT_REPORTED (see full text),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,isolated perfused liver,organ spectrophotometry catalase Compound I; hydrogen donors,ethanol/methanol/formate hydrogen donors,NOT_REPORTED,4347674,10.1016/0003-9861(73)90040-4,https://pubmed.ncbi.nlm.nih.gov/4347674,full text (abstract not available),non-human proxy (rat perfused liver),Seminal source for hepatic H2O2 turnover & catalase Compound I. Abstract not available; numeric values require full text = NOT_REPORTED here.
Redox/ROS,Redox / ROS kinetics,fenofibrate treatment 2 wk (peroxisome proliferation),NOT_REPORTED,Liver H2O2 steady-state concentration change,+89,% increase vs control,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,mouse,mouse (NMRI),liver in vivo (treated),enzyme activities + H2O2 concentration & production rate determination,0.23% fenofibrate diet,NOT_REPORTED,8541349,10.1016/0925-4439(95)00084-4,https://pubmed.ncbi.nlm.nih.gov/8541349,Abstract,non-human proxy; treatment condition; relative only,"Catalase +506%, Se-GPx +331%, non-Se-GPx +188%, Mn-SOD +130%, CuZn-SOD unchanged (all % vs control). Absolute activities in tables = NOT_REPORTED."
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Sinusoidal GSH efflux Vmax (perfused liver),20,nmol/min/g liver,fitted (Hill model),NOT_REPORTED,NOT_REPORTED,rat,rat,"isolated liver perfused in situ, single-pass","steady-state efflux, Hill kinetic fit","hemoglobin-free oxygenated buffer, pH 7.4",37 C,3965506,10.1172/JCI111682,https://pubmed.ncbi.nlm.nih.gov/3965506,Abstract; Results,non-human proxy (rat perfused liver),"Ookhtens et al. Vmax=20 nmol/min/g, Km=3.2 umol/g, Hill n=3. Efflux ~80% of Vmax at normal GSH. n and error not stated in accessible text."
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Sinusoidal GSH efflux Km (perfused liver),3.2,umol/g liver,fitted (Hill model),NOT_REPORTED,NOT_REPORTED,rat,rat,"isolated liver perfused in situ, single-pass","steady-state efflux, Hill kinetic fit","hemoglobin-free oxygenated buffer, pH 7.4",37 C,3965506,10.1172/JCI111682,https://pubmed.ncbi.nlm.nih.gov/3965506,Abstract; Results,non-human proxy (rat perfused liver),Km=3.2 umol/g; Hill coefficient n=3 binding/transport sites.
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Sinusoidal GSH efflux Hill coefficient (n),3,dimensionless (binding/transport sites),fitted,NOT_REPORTED,NOT_REPORTED,rat,rat,isolated perfused liver,Hill kinetic fit of efflux vs concentration,hemoglobin-free buffer pH 7.4,37 C,3965506,10.1172/JCI111682,https://pubmed.ncbi.nlm.nih.gov/3965506,Abstract,non-human proxy,Sinusoidal efflux accounts for 80-90% of hepatic GSH turnover in vivo.
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Hepatic GSH level & turnover rate (ontogeny),NOT_REPORTED,NOT_REPORTED (see full text),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat (Wistar; newborn/weanling/adult),liver in vivo,"GSH level, turnover rate, GGT activity",developmental stages,NOT_REPORTED,2883178,10.1093/oxfordjournals.jbchem.a121851,https://pubmed.ncbi.nlm.nih.gov/2883178,full text,non-human proxy (rat),Reports developmental changes in hepatic GSH level and turnover rate; numeric values require full text = NOT_REPORTED.
Redox/ROS,Redox / ROS kinetics,"protein-energy malnutrition (0.5 g protein/100g diet, 2 wk)",NOT_REPORTED,Hepatocyte GSH concentration vs control,-82,% lower than control,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat (weanling),freshly isolated hepatocytes,glutathione assay,control vs low-protein diet; +glucagon/db-cAMP,NOT_REPORTED,8120650,10.1093/jn/124.3.323,https://pubmed.ncbi.nlm.nih.gov/8120650,Abstract,non-human proxy; relative only,GSH 82% lower in malnourished; glucagon/db-cAMP decreased GSH 25-43% in controls. Absolute nmol/mg = NOT_REPORTED in abstract.
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Hepatocyte GSH depletion threshold (viability),<5,% of control GSH (no viability loss),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,freshly isolated hepatocytes,viability + GSH/ATP measurement,diethyl maleate / phorone depletion,NOT_REPORTED,1478272,10.1016/0926-6917(92)90034-a,https://pubmed.ncbi.nlm.nih.gov/1478272,Abstract,non-human proxy (rat hepatocytes),GSH depletion to <5% of control alone did not kill cells; absolute GSH content = NOT_REPORTED in abstract.
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Mitochondrial GSH depletion effect on function,mito GSH to 10-20% of control,% of control (relative),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,isolated liver mitochondria & isolated hepatocytes,"DCF fluorescence H2O2, MDA, complex activities",diethylmaleate 0.8 mM / ethacrynic acid 250 uM / BSO; +antimycin A,NOT_REPORTED,7476912,NOT_REPORTED,https://pubmed.ncbi.nlm.nih.gov/7476912,Abstract,non-human proxy (rat),"Mito GSH depletion to 10-20% potentiates oxidant stress; ATPase to 51%, complex IV to 45% of control. Absolute GSH = NOT_REPORTED."
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Rate of NADPH supply for GSSG reduction (hypoxia),NOT_REPORTED,NOT_REPORTED (full text body unavailable),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,isolated hepatocytes,GSSG reduction under controlled O2 with diamide infusion; BCNU inhibition of GSSG reductase,varied steady-state O2; diamide thiol oxidant,NOT_REPORTED,2306281,10.1016/0006-2952(90)90152-b,https://pubmed.ncbi.nlm.nih.gov/2306281,full text (only metadata stub retrieved),non-human proxy (rat hepatocytes),Directly relevant: NADPH supply rate for maintaining GSH pool during hypoxia. Numeric rates in figures/tables not accessible = NOT_REPORTED.
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Cytosolic glutathione redox potential E_GSH (typical),more negative than -310,mV,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,general/plant (roGFP2 probe characterization),roGFP2-based probes (in vitro + in vivo),roGFP2 / GRX1-roGFP2 redox-sensitive GFP,steady-state cytosol,NOT_REPORTED,24379821,10.3389/fpls.2013.00506,https://pubmed.ncbi.nlm.nih.gov/24379821,Abstract,"indirect proxy (probe range, not hepatocyte-specific)",Cytosolic E_GSH normally < -310 mV; roGFP1/2 midpoint -280 to -290 mV; roGFP2-iL midpoint -238 mV. Not hepatocyte-measured.
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,"Cu,Zn-SOD catalytic rate constant kcat (low ionic strength)",2.82e9 (2.82 +/- 0.02 x10^9),M^-1 s^-1,mean,+/-0.02 x10^9 (SD),NOT_REPORTED,other,bovine (enzyme),"purified Cu,Zn-SOD",pulse radiolysis,low ionic strength (2-15 mM),NOT_REPORTED,16934676,10.1016/j.freeradbiomed.2006.05.026,https://pubmed.ncbi.nlm.nih.gov/16934676,Abstract,"proxy (CuZn-SOD kcat, near-diffusion-limited, species-conserved)",kcat=2.82e9 M-1s-1 low ionic strength; 1.30e9 M-1s-1 in 50 mM phosphate pH 7.8 (I~150 mM).
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,"Cu,Zn-SOD catalytic rate constant kcat (physiological ionic strength)",1.30e9 (1.30 +/- 0.02 x10^9),M^-1 s^-1,mean,+/-0.02 x10^9 (SD),NOT_REPORTED,other,bovine (enzyme),"purified Cu,Zn-SOD",pulse radiolysis,"50 mM phosphate, pH 7.8, I~150 mM",NOT_REPORTED,16934676,10.1016/j.freeradbiomed.2006.05.026,https://pubmed.ncbi.nlm.nih.gov/16934676,Abstract,proxy (near-physiological ionic strength kcat),Physiologically relevant ionic-strength value for whole-cell modeling.
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,"Cu,Zn-SOD (bovine liver) inactivation by H2O2",NOT_REPORTED,NOT_REPORTED (rate constants in full text),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,bovine liver,"purified Cu,Zn-SOD","electrophoresis, pH dependence","H2O2/active site molar ratios 0.2-20, pH 7.3-10",NOT_REPORTED,2714271,10.1111/j.1432-1033.1989.tb14683.x,https://pubmed.ncbi.nlm.nih.gov/2714271,Abstract/full text,proxy (SOD self-inactivation kinetics),"Liver enzyme, H2O2-dependent inactivation; quantitative rate constants require full text = NOT_REPORTED."
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Peroxiredoxin 2 + H2O2 second-order rate constant,1.3e7 (1.3 x10^7),M^-1 s^-1,mean,NOT_REPORTED,NOT_REPORTED,human,human,purified erythrocyte Prx2 protein,competition kinetics vs horseradish peroxidase; dimerization inhibition,pH 7.4,NOT_REPORTED,17329258,10.1074/jbc.M700339200,https://pubmed.ncbi.nlm.nih.gov/17329258,Abstract,usable (human Prx2 rate constant; hepatocyte-expressed antioxidant),"Peskin/Winterbourn. 1.3e7 M-1s-1, ~100x faster than previously assumed; comparable to catalase & GPx."
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Peroxiredoxin 2 hyperoxidation (sulfenic + H2O2) rate constant,12000 (1.2 x10^4),M^-1 s^-1,mean,NOT_REPORTED,NOT_REPORTED,human,human,recombinant Prx2,mass spectrometry vs [H2O2]; competition with catalase,no reductive cycling,NOT_REPORTED,23543738,10.1074/jbc.M113.460881,https://pubmed.ncbi.nlm.nih.gov/23543738,Abstract,usable (human Prx2 hyperoxidation kinetics),Also disulfide formation rate constant = 2 s^-1 for Prx2; Prx3 disulfide ~10x higher.
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Peroxiredoxin 2 disulfide formation rate constant,2,s^-1,mean,NOT_REPORTED,NOT_REPORTED,human,human,recombinant Prx2,MS product analysis vs [H2O2],no reductive cycling,NOT_REPORTED,23543738,10.1074/jbc.M113.460881,https://pubmed.ncbi.nlm.nih.gov/23543738,Abstract,usable (human Prx2),Prx3 rate of disulfide formation ~10-fold higher than Prx2 (more resistant to hyperoxidation).
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Human thioredoxin glutathione reductase (TGR) kinetic characterization,NOT_REPORTED,NOT_REPORTED (kcat/Km in tables),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,recombinant hTGR (wild-type & mutants),"kinetics with Trx, DTNB, HED, GSSG substrates",Trx / DTNB / HED / GSSG,NOT_REPORTED,29222842,10.1111/febs.14357,https://pubmed.ncbi.nlm.nih.gov/29222842,tables in full text,usable (human enzyme) but values NOT_REPORTED in abstract,Selenoprotein linking Trx & GSH systems; reduces GSSG. Numeric kcat/Km in tables not in abstract = NOT_REPORTED.
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,"GSSG release rate (basal, perfused organ)",110,pmol/min/g heart,mean,NOT_REPORTED,NOT_REPORTED,rat,rat,isolated perfused heart (liver comparison noted),effluent perfusate GSSG/GSH quantification,basal; t-butyl hydroperoxide induces increase,NOT_REPORTED,6706982,NOT_REPORTED,https://pubmed.ncbi.nlm.nih.gov/6706982,Abstract,"non-human proxy (heart, not liver)",GSSG 110 & GSH 370 pmol/min/g heart; abstract states these are 'much lower than for similar conditions in liver' (liver value NOT_REPORTED in abstract).
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,"GSH release rate (basal, perfused organ)",370,pmol/min/g heart,mean,NOT_REPORTED,NOT_REPORTED,rat,rat,isolated perfused heart,effluent perfusate quantification,basal,NOT_REPORTED,6706982,NOT_REPORTED,https://pubmed.ncbi.nlm.nih.gov/6706982,Abstract,non-human proxy (heart),Companion to GSSG release; saturation kinetics found for GSSG release.
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Postabsorptive, healthy normal subjects",NOT_REPORTED,Endogenous (hepatic) glucose production (EGP),85.6,mg·m^-2·min^-1,mean,±3.9 (SEM),10,human,human,whole-body in vivo (healthy volunteers),"[6,6-2H2]glucose dideuterated tracer, non-steady-state","post-absorptive, endogenous",NOT_REPORTED,8904352,10.1046/j.1365-2362.1996.134272.x,https://pubmed.ncbi.nlm.nih.gov/8904352/,Results/Abstract,human (directly usable),"EGP with matched priming dose. NIDDM 80.2±14.4 (n=10), NS vs controls."
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"NIDDM (type 2 diabetes), post-absorptive",NOT_REPORTED,Endogenous glucose production (EGP),80.2,mg·m^-2·min^-1,mean,±14.4 (SEM),10,human,human,whole-body in vivo (NIDDM),"[6,6-2H2]glucose tracer, matched priming","post-absorptive, endogenous",NOT_REPORTED,8904352,10.1046/j.1365-2362.1996.134272.x,https://pubmed.ncbi.nlm.nih.gov/8904352/,Results/Abstract,human (directly usable),Non-adapted priming overestimated EGP at 178.1±24.0 (methodological artifact).
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Post-absorptive (overnight fast), healthy",NOT_REPORTED,Endogenous (hepatic) glucose production,2.34,mg·min^-1·kg^-1,mean,±0.06 (SEM),11,human,human,whole-body in vivo (hepatic venous catheter),3H-glucose infusion + double-tracer,"post-absorptive, endogenous",NOT_REPORTED,3891471,10.2337/diab.34.6.580,https://pubmed.ncbi.nlm.nih.gov/3891471/,Results/Abstract,human (directly usable),After oral glucose EGP nadir 0.62±0.23 at 45 min; 0.85±0.22 at 3.5 h; avg 53±5% inhibition.
