track,category,condition,time_h,endpoint,value,unit,mean_or_median,error,n,organism_bucket,organism,model,assay,substrate_condition,temperature,pmid,doi,url,figure_table,usable_for_human_wholecell,notes
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP baculovirus Sf9 vesicle, ATP-dependent uptake",NOT_REPORTED,Km,11.9,umol/L,mean,SD 1.8,NOT_REPORTED,other,human,Sf9 insect cell membrane vesicle (recombinant hBSEP),rapid filtration ATP-dependent vesicular transport,tauroursodeoxycholate,NOT_REPORTED,12404240,10.1053/gast.2002.36587,https://pubmed.ncbi.nlm.nih.gov/12404240/,Abstract (Table in text),human recombinant single-transporter Km — usable,Vmax not reported in abstract
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,human BSEP membrane vesicle ATP-dependent uptake,NOT_REPORTED,Km,124,umol/L,mean,NOT_REPORTED,NOT_REPORTED,other,human,recombinant hBSEP membrane vesicle,ATP-dependent vesicular transport,pravastatin (non-bile-acid substrate),NOT_REPORTED,15901796,10.1124/jpet.105.084830,https://pubmed.ncbi.nlm.nih.gov/15901796/,Abstract,"human, non-physiological substrate — indirect proxy",competitive with taurocholate; Vmax not reported
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP HEK293-adenovirus vesicle, ATP-dependent uptake",NOT_REPORTED,Km,9.5,umol/L,mean,SD 1.5,NOT_REPORTED,other,human,HEK293 membrane vesicle (recombinant hBSEP),ATP-dependent vesicular transport,taurolithocholate-3-sulfate (TLC-S),NOT_REPORTED,16332456,10.1016/j.bbalip.2005.10.006,https://pubmed.ncbi.nlm.nih.gov/16332456/,Abstract,human recombinant single-transporter Km — usable,hMRP2 Km for TLC-S 8.2±1.3 uM cited same paper
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP p.444V (reference) membrane vesicle, GCA transport",NOT_REPORTED,Vmax,1132,pmol/min/mg protein,mean,SD 246,NOT_REPORTED,other,human,membrane vesicle recombinant hBSEP p.444V,ATP-dependent vesicular transport (1-100 uM GCA),glycocholic acid (GCA),37 C,30608704,10.1021/acs.molpharmaceut.8b01124,https://pubmed.ncbi.nlm.nih.gov/30608704/,Abstract/Results,human recombinant single-transporter — usable,Michaelis-Menten
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP p.444V (reference) membrane vesicle, GCA transport",NOT_REPORTED,Km,32.7,umol/L,mean,SD 18.2,NOT_REPORTED,other,human,membrane vesicle recombinant hBSEP p.444V,ATP-dependent vesicular transport,glycocholic acid (GCA),37 C,30608704,10.1021/acs.molpharmaceut.8b01124,https://pubmed.ncbi.nlm.nih.gov/30608704/,Abstract/Results,human recombinant single-transporter — usable,reference allele
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP p.444A (variant) membrane vesicle, GCA transport",NOT_REPORTED,Vmax,959,pmol/min/mg protein,mean,SD 256,NOT_REPORTED,other,human,membrane vesicle recombinant hBSEP p.444A,ATP-dependent vesicular transport,glycocholic acid (GCA),37 C,30608704,10.1021/acs.molpharmaceut.8b01124,https://pubmed.ncbi.nlm.nih.gov/30608704/,Abstract/Results,human recombinant single-transporter variant — usable,variant allele; not stat. different from ref
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP p.444A (variant) membrane vesicle, GCA transport",NOT_REPORTED,Km,45.7,umol/L,mean,SD 25.5,NOT_REPORTED,other,human,membrane vesicle recombinant hBSEP p.444A,ATP-dependent vesicular transport,glycocholic acid (GCA),37 C,30608704,10.1021/acs.molpharmaceut.8b01124,https://pubmed.ncbi.nlm.nih.gov/30608704/,Abstract/Results,human recombinant single-transporter variant — usable,variant allele
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP Sf9 vesicle, fluorescent bile acid derivative uptake",NOT_REPORTED,Km,23.1,umol/L,mean,SD 1.6,NOT_REPORTED,other,human,Sf9 membrane vesicle (recombinant hBSEP),ATP-dependent vesicular transport (LC-ESI-MS detection),DBD-conjugated bile acid derivative,NOT_REPORTED,20460828,10.2133/dmpk.25.214,https://pubmed.ncbi.nlm.nih.gov/20460828/,Abstract,"human, synthetic probe substrate — indirect proxy",comparable to taurocholic acid
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP Sf9 vesicle, fluorescent bile acid derivative uptake",NOT_REPORTED,Vmax,623.2,pmol/min/mg protein,mean,SD 22.4,NOT_REPORTED,other,human,Sf9 membrane vesicle (recombinant hBSEP),ATP-dependent vesicular transport (LC-ESI-MS detection),DBD-conjugated bile acid derivative,NOT_REPORTED,20460828,10.2133/dmpk.25.214,https://pubmed.ncbi.nlm.nih.gov/20460828/,Abstract,"human, synthetic probe substrate — indirect proxy",max uptake rate
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"AKR/J mouse canalicular membrane vesicle, ATP-dependent TC uptake",NOT_REPORTED,Vmax,127,pmol TC/mg/s,mean,NOT_REPORTED,NOT_REPORTED,other,mouse,AKR/J mouse canalicular liver plasma membrane vesicle,ATP-dependent 3H-taurocholate uptake,taurocholate,NOT_REPORTED,14724752,10.1007/s00232-003-0620-4,https://pubmed.ncbi.nlm.nih.gov/14724752/,Abstract,non-human (mouse) — proxy,gallstone-resistant strain; Km unchanged vs C57L/J
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"C57L/J mouse canalicular membrane vesicle, ATP-dependent TC uptake",NOT_REPORTED,Vmax,42,pmol TC/mg/s,mean,NOT_REPORTED,NOT_REPORTED,other,mouse,C57L/J mouse canalicular liver plasma membrane vesicle,ATP-dependent 3H-taurocholate uptake,taurocholate,NOT_REPORTED,14724752,10.1007/s00232-003-0620-4,https://pubmed.ncbi.nlm.nih.gov/14724752/,Abstract,non-human (mouse) — proxy,gallstone-susceptible strain
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human MRP2 membrane vesicle, E17G transport (sigmoidal)",NOT_REPORTED,"Km (apparent, S50)",170,umol/L,mean,SD 17,NOT_REPORTED,other,human,recombinant human MRP2 membrane vesicle,ATP-dependent vesicular transport,estradiol-17-glucuronide (E17G),NOT_REPORTED,28325716,10.1124/dmd.116.074740,https://pubmed.ncbi.nlm.nih.gov/28325716/,Abstract/Results,human recombinant single-transporter — usable,"sigmoidal kinetics, Hill=2.05±0.1, multiple binding sites"
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human MRP2 membrane vesicle, E17G transport (sigmoidal)",NOT_REPORTED,Vmax,1447,pmol/mg protein/min,mean,SD 137,NOT_REPORTED,other,human,recombinant human MRP2 membrane vesicle,ATP-dependent vesicular transport,estradiol-17-glucuronide (E17G),NOT_REPORTED,28325716,10.1124/dmd.116.074740,https://pubmed.ncbi.nlm.nih.gov/28325716/,Abstract/Results,human recombinant single-transporter — usable,Hill coefficient 2.05
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human MRP2 membrane vesicle, CP-I transport (hyperbolic)",NOT_REPORTED,Km (apparent),7.7,umol/L,mean,SD 0.7,NOT_REPORTED,other,human,recombinant human MRP2 membrane vesicle,ATP-dependent vesicular transport,coproporphyrin-I (CP-I),NOT_REPORTED,28325716,10.1124/dmd.116.074740,https://pubmed.ncbi.nlm.nih.gov/28325716/,Abstract/Results,human recombinant single-transporter — usable,"Michaelis-Menten, single binding site"
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human MRP2 membrane vesicle, CP-I transport (hyperbolic)",NOT_REPORTED,Vmax,48,pmol/mg protein/min,mean,SD 11,NOT_REPORTED,other,human,recombinant human MRP2 membrane vesicle,ATP-dependent vesicular transport,coproporphyrin-I (CP-I),NOT_REPORTED,28325716,10.1124/dmd.116.074740,https://pubmed.ncbi.nlm.nih.gov/28325716/,Abstract/Results,human recombinant single-transporter — usable,NOT_REPORTED
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human MRP2 vesicle (insect cell), estrogen glucuronide transport",NOT_REPORTED,Km (range across E-G/E-3G/E-16G),180-790,umol/L,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,human,insect cell membrane vesicle (recombinant human MRP2),vesicular transport assay,"estrogen glucuronides (E-G, E-3G, E-16G)",NOT_REPORTED,29175180,10.1016/j.jsbmb.2017.11.007,https://pubmed.ncbi.nlm.nih.gov/29175180/,Abstract,human recombinant single-transporter — usable,high Km; per-substrate Vmax not in abstract
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"rat MRP3 membrane vesicle (LLC-PK1/HeLa), E217betaG uptake",NOT_REPORTED,Km,67,umol/L,mean,SD 14,NOT_REPORTED,other,rat,membrane vesicle recombinant rat MRP3 (ABCC3),ATP-dependent vesicular transport,17beta-estradiol-17-beta-D-glucuronide (E217betaG),NOT_REPORTED,10329726,10.1074/jbc.274.21.15181,https://pubmed.ncbi.nlm.nih.gov/10329726/,Abstract,"non-human, MRP3 not MRP2 — off-target proxy",INCLUDED as related conjugate-export ABC transporter; NOT MRP2
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"rat MRP3 membrane vesicle, E217betaG uptake",NOT_REPORTED,Vmax,415,pmol/min/mg protein,mean,SD 73,NOT_REPORTED,other,rat,membrane vesicle recombinant rat MRP3 (ABCC3),ATP-dependent vesicular transport,E217betaG,NOT_REPORTED,10329726,10.1074/jbc.274.21.15181,https://pubmed.ncbi.nlm.nih.gov/10329726/,Abstract,"non-human, MRP3 not MRP2 — off-target proxy","MRP3, related transporter"
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human MRP1 (C-A500 cell) membrane vesicle, DNP-SG uptake",NOT_REPORTED,Km,2.56,umol/L,mean,NOT_REPORTED,NOT_REPORTED,other,human,membrane vesicle from C-A500 (MRP1-expressing KB-3-1 derived),ATP-dependent vesicular transport,"2,4-dinitrophenyl-S-glutathione (DNP-SG)",NOT_REPORTED,10363583,10.1111/j.1349-7006.1999.tb00767.x,https://pubmed.ncbi.nlm.nih.gov/10363583/,Abstract,"human, MRP1 (ABCC1) not MRP2 — off-target proxy for conjugate export",MRP1; MRP2 not overexpressed
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human MRP1 (C-A500 cell) membrane vesicle, DNP-SG uptake",NOT_REPORTED,Vmax,570,pmol/min/mg protein,mean,NOT_REPORTED,NOT_REPORTED,other,human,membrane vesicle from C-A500 (MRP1),ATP-dependent vesicular transport,DNP-SG,NOT_REPORTED,10363583,10.1111/j.1349-7006.1999.tb00767.x,https://pubmed.ncbi.nlm.nih.gov/10363583/,Abstract,"human, MRP1 not MRP2 — off-target proxy",MRP1
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human MRP1 (C-A500 cell) membrane vesicle, E2-17betaG uptake",NOT_REPORTED,Km,2.33,umol/L,mean,NOT_REPORTED,NOT_REPORTED,other,human,membrane vesicle from C-A500 (MRP1),ATP-dependent vesicular transport,estradiol-17beta-D-glucuronide,NOT_REPORTED,10363583,10.1111/j.1349-7006.1999.tb00767.x,https://pubmed.ncbi.nlm.nih.gov/10363583/,Abstract,"human, MRP1 not MRP2 — off-target proxy",MRP1
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human MRP1 (C-A500 cell) membrane vesicle, E2-17betaG uptake",NOT_REPORTED,Vmax,34,pmol/min/mg protein,mean,NOT_REPORTED,NOT_REPORTED,other,human,membrane vesicle from C-A500 (MRP1),ATP-dependent vesicular transport,estradiol-17beta-D-glucuronide,NOT_REPORTED,10363583,10.1111/j.1349-7006.1999.tb00767.x,https://pubmed.ncbi.nlm.nih.gov/10363583/,Abstract,"human, MRP1 not MRP2 — off-target proxy",MRP1
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human GLUT2 in Xenopus oocyte, 2-deoxyglucose transport",NOT_REPORTED,Km,11.2,mmol/L,mean,SD 1.1,NOT_REPORTED,other,human,Xenopus laevis oocyte (heterologous expression of human GLUT2),deoxyglucose uptake in oocytes,2-deoxyglucose,NOT_REPORTED,8987985,10.1021/bi962210n,https://pubmed.ncbi.nlm.nih.gov/8987985/,Abstract (cites Gould et al 1991 Biochemistry 30:5139),"human protein in oocyte (heterologous) — usable Km, system labeled 'other'",GLUT3 Km 1.4±0.06 mM same paper
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"GLUT2 in Xenopus oocyte, 2-deoxyglucose transport",NOT_REPORTED,Km,17.1,mmol/L,mean,NOT_REPORTED,NOT_REPORTED,other,human,Xenopus laevis oocyte (heterologous expression GLUT2/liver),2-deoxyglucose uptake in oocytes,2-deoxyglucose,NOT_REPORTED,1420159,10.1021/bi00157a032,https://pubmed.ncbi.nlm.nih.gov/1420159/,Abstract,"human protein in oocyte (heterologous) — usable Km, system 'other'",Km order GLUT3(1.8)<GLUT4(4.6)<GLUT1(6.9)<GLUT2(17.1) mM
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human GLUT2 in Xenopus oocyte, deoxyglucose transport + competitive sugars",NOT_REPORTED,"Km/Ki (D-glucose, fructose, maltose)",NOT_REPORTED,mM,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,human,Xenopus laevis oocyte (heterologous human GLUT2),"deoxyglucose uptake, competitive inhibition",2-deoxyglucose / D-glucose / D-fructose / maltose,NOT_REPORTED,8457197,10.1042/bj2900701,https://pubmed.ncbi.nlm.nih.gov/8457197/,Tables (scanned PDF; numeric tables not machine-readable),human protein in oocyte — usable but values in scanned tables,"Full numeric Km/Ki in original tables; PMC copy is scanned image, values NOT_REPORTED here to avoid transcription error"
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"rat GLUT2 in Xenopus oocyte + rat hepatocytes, dehydroascorbic acid transport",NOT_REPORTED,"Km (glucose/DHA, low affinity)",NOT_REPORTED,mM,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,rat,Xenopus oocyte (rat GLUT2) and rat hepatocytes,transport kinetics/competition,dehydroascorbic acid / D-glucose,NOT_REPORTED,21621509,10.1016/j.bbrc.2011.05.070,https://pubmed.ncbi.nlm.nih.gov/21621509/,Abstract,"non-human (rat), low-affinity confirmation — proxy","GLUT2 confirmed low-affinity glucose/DHA transporter; numeric Km in figures, NOT_REPORTED in abstract"
